frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,6.92
5,3.04
6,1.17
7,0.26
8,0.14
9,0.28
10,0.30
11,0.27
12,0.22
13,0.17
14,0.13
15,0.09
16,0.07
17,0.05
18,0.03
19,0.02
20,0.02
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.03
68,0.00
69,0.01
70,0.01
71,0.01
72,0.01
73,0.01
74,0.01
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,0.00
82,0.00
83,0.00
84,0.00
85,0.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,0.00
94,0.00
95,0.00
96,0.00
97,2.68
98,4.83
99,6.47
100,7.81
101,8.93
102,9.70
103,10.09
104,10.25
105,10.25
106,10.17
107,10.02
108,9.85
109,9.65
110,9.45
111,9.24
112,9.03
113,8.82
114,8.61
115,8.41
116,8.21
117,8.02
118,7.83
119,7.65
120,7.47
121,7.29
122,7.12
123,6.95
124,6.78
125,6.62
126,6.47
127,6.31
128,6.16
129,6.00
130,5.89
131,5.88
132,5.96
133,5.95
134,5.88
135,5.79
136,5.69
137,5.57
138,5.45
139,5.30
140,5.23
141,5.13
142,5.09
143,5.00
144,4.91
145,4.98
146,5.31
147,5.83
148,6.55
149,7.35
150,8.13
151,8.89
152,9.66
153,10.42
154,11.18
155,11.94
156,12.71
157,13.47
158,14.24
159,15.01
160,15.79
161,16.56
162,17.35
163,18.13
164,18.92
165,19.70
166,20.49
167,21.27
168,22.04
169,22.82
170,23.59
171,24.36
172,25.12
173,25.85
174,26.41
175,26.67
176,26.67
177,26.49
178,26.19
179,25.81
180,25.39
181,25.04
182,24.86
183,24.90
184,25.15
185,25.52
186,25.99
187,26.53
188,27.11
189,27.73
190,28.38
191,29.04
192,29.71
193,30.40
194,31.09
195,31.78
196,32.47
197,33.07
198,33.48
199,33.69
200,33.72
201,33.85
202,34.14
203,34.50
204,35.38
205,36.14
206,36.89
207,37.52
208,37.94
209,38.15
210,38.12
211,38.16
212,38.32
213,38.54
214,38.78
215,39.60
216,40.41
217,41.18
218,41.96
219,42.73
220,43.48
221,44.21
222,44.93
223,45.63
224,46.32
225,47.00
226,47.67
227,48.32
228,48.97
229,49.61
230,50.25
231,50.88
232,51.50
233,52.11
234,52.73
235,53.33
236,53.93
237,54.53
238,55.12
239,55.71
240,56.29
241,56.74
242,56.80
243,56.35
244,55.40
245,54.75
246,54.35
247,53.71
248,52.71
249,51.38
250,49.75
251,48.55
252,47.77
253,46.84
254,45.92
255,45.00
256,43.82
257,42.94
258,41.86
259,40.58
260,39.43
261,38.30
262,37.17
263,36.44
264,35.70
265,35.12
266,34.81
267,34.74
268,34.85
269,35.10
270,35.45
271,35.87
272,36.34
273,36.86
274,37.40
275,37.97
276,38.56
277,39.16
278,39.77
279,40.39
280,41.02
281,41.65
282,42.28
283,42.91
284,43.55
285,44.18
286,44.81
287,45.45
288,46.08
289,46.59
290,46.88
291,46.91
292,46.66
293,47.03
294,47.72
295,48.39
296,48.94
297,49.23
298,49.23
299,48.95
300,49.27
301,49.98
302,50.67
303,51.21
304,51.48
305,51.46
306,51.14
307,51.42
308,51.54
309,51.25
310,50.87
311,50.50
312,50.10
313,50.34
314,51.04
315,51.70
316,52.33
317,53.00
318,53.70
319,54.42
320,55.13
321,55.84
322,56.53
323,57.20
324,57.86
325,58.50
326,59.13
327,59.75
328,60.24
329,60.47
330,60.40
331,60.00
332,60.12
333,60.06
334,59.55
335,58.91
336,58.22
337,57.47
338,57.25
339,57.70
340,57.70
341,58.06
342,58.44
343,58.87
344,59.38
345,59.98
346,60.43
347,60.83
348,61.06
349,61.00
350,60.63
351,60.20
352,59.75
353,59.86
354,59.70
355,59.05
356,58.26
357,58.05
358,58.11
359,58.06
360,58.35
361,58.57
362,58.53
363,58.19
364,58.05
365,58.38
366,57.94
367,58.10
368,58.23
369,58.12
370,58.62
371,59.32
372,60.05
373,60.38
374,60.49
375,61.10
376,61.78
377,62.45
378,63.13
379,63.81
380,64.37
381,64.68
382,64.73
383,65.27
384,65.74
385,66.31
386,66.72
387,67.03
388,67.34
389,67.30
390,67.95
391,68.66
392,69.33
393,69.85
394,70.10
395,70.06
396,69.77
397,69.28
398,68.65
399,67.89
400,67.05
401,64.45
402,61.20
403,58.15
404,55.20
405,53.16
406,51.81
407,50.51
408,48.21
409,45.42
410,43.41
411,42.01
412,40.61
413,39.09
414,37.48
415,35.84
416,34.95
417,34.53
418,34.31
419,34.32
420,34.49
421,34.79
422,35.17
423,35.62
424,36.11
425,36.64
426,37.20
427,37.78
428,38.38
429,38.99
430,39.61
431,40.24
432,40.87
433,41.50
434,42.14
435,42.67
436,42.97
437,43.04
438,43.65
439,44.29
440,44.96
441,45.63
442,46.29
443,46.95
444,47.60
445,48.24
446,48.88
447,49.51
448,50.14
449,50.76
450,51.38
451,51.99
452,52.59
453,53.20
454,53.80
455,54.39
456,54.98
457,55.57
458,56.15
459,56.73
460,57.30
461,57.87
462,58.44
463,59.00
464,59.56
465,60.12
466,60.68
467,61.23
468,61.77
469,62.32
470,62.86
471,63.39
472,63.93
473,64.46
474,64.99
475,65.51
476,66.03
477,66.55
478,67.07
479,67.58
480,68.09
481,68.60
482,68.99
483,69.13
484,69.60
485,70.11
486,70.61
487,71.11
488,71.61
489,72.11
490,72.61
491,73.12
492,73.62
493,74.11
494,74.61
495,75.11
496,75.60
497,76.09
498,76.57
499,77.06
500,77.54
501,78.02
502,78.50
503,78.98
504,79.46
505,79.92
506,80.40
507,80.87
508,81.33
509,81.80
510,82.27
511,82.73
512,83.19
513,83.65
514,84.11
515,84.57
516,85.03
517,85.48
518,85.82
519,85.90
520,86.31
521,86.76
522,87.03
523,86.99
524,86.58
525,86.52
526,86.52
527,86.20
528,85.65
529,84.94
530,84.11
531,83.18
532,82.17
533,81.09
534,79.97
535,78.80
536,77.60
537,76.38
538,75.13
539,73.88
540,72.61
541,71.34
542,70.07
543,68.80
544,67.54
545,66.28
546,65.03
547,63.79
548,62.56
549,61.35
550,60.14
551,58.95
552,57.78
553,56.62
554,55.47
555,54.34
556,53.23
557,52.13
