frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,7.05
5,8.81
6,10.57
7,12.33
8,14.08
9,15.84
10,17.59
11,19.35
12,21.10
13,22.86
14,14.88
15,0.45
16,0.91
17,1.06
18,1.02
19,0.88
20,0.71
21,0.54
22,0.39
23,0.27
24,0.17
25,0.10
26,0.05
27,0.02
28,0.00
29,0.01
30,0.01
31,0.01
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.03
79,0.02
80,0.01
81,0.00
82,0.00
83,0.00
84,0.00
85,0.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,0.00
94,0.00
95,0.00
96,0.00
97,2.42
98,3.83
99,4.37
100,4.71
101,5.14
102,5.96
103,7.07
104,8.15
105,9.18
106,10.19
107,11.20
108,12.20
109,13.20
110,14.19
111,15.10
112,15.88
113,16.56
114,17.14
115,17.87
116,18.72
117,19.82
118,20.63
119,21.48
120,22.37
121,23.16
122,23.85
123,24.44
124,24.96
125,25.41
126,25.80
127,25.92
128,25.68
129,25.81
130,25.32
131,25.05
132,24.83
133,24.96
134,24.69
135,24.94
136,24.55
137,25.43
138,26.20
139,26.75
140,27.38
141,28.10
142,28.85
143,29.60
144,30.33
145,31.03
146,31.70
147,32.33
148,32.92
149,33.47
150,33.99
151,34.48
152,34.93
153,35.34
154,35.72
155,36.06
156,36.39
157,36.67
158,36.88
159,37.15
160,37.33
161,37.24
162,36.84
163,36.78
164,36.57
165,36.34
166,35.85
167,35.69
168,35.02
169,34.10
170,33.18
171,32.30
172,32.04
173,32.13
174,32.08
175,31.96
176,31.87
177,31.81
178,33.23
179,34.47
180,35.58
181,36.58
182,37.51
183,38.37
184,39.20
185,39.99
186,40.76
187,41.50
188,42.24
189,42.96
190,43.67
191,44.26
192,44.61
193,44.71
194,44.59
195,44.49
196,44.44
197,44.94
198,45.70
199,46.26
200,46.61
201,46.74
202,46.65
203,46.59
204,46.60
205,46.61
206,46.59
207,47.07
208,47.62
209,47.55
210,47.44
211,47.33
212,47.23
213,47.11
214,46.78
215,46.19
216,45.35
217,44.49
218,43.69
219,43.63
220,43.46
221,43.03
222,40.80
223,38.50
224,36.92
225,35.67
226,34.51
227,33.39
228,32.42
229,31.32
230,31.03
231,30.93
232,30.39
233,29.67
234,28.82
235,28.11
236,27.11
237,25.34
238,24.00
239,23.29
240,22.78
241,22.36
242,22.07
243,21.78
244,20.77
245,19.40
246,18.55
247,18.10
248,18.03
249,18.24
250,18.25
251,18.22
252,18.18
253,18.14
254,18.25
255,18.10
256,18.00
257,17.97
258,17.95
259,17.93
260,18.98
261,20.11
262,21.20
263,22.25
264,23.28
265,24.19
266,24.91
267,25.46
268,25.86
269,26.38
270,27.03
271,28.13
272,29.05
273,29.97
274,30.92
275,31.85
276,32.77
277,33.66
278,34.54
279,35.36
280,35.96
281,36.16
282,36.04
283,35.70
284,35.20
285,34.61
286,33.95
287,33.24
288,32.51
289,31.76
290,31.00
291,31.13
292,31.01
293,31.04
294,30.97
295,30.97
