frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,7.05
5,8.81
6,10.57
7,12.33
8,14.08
9,15.84
10,14.65
11,10.02
12,0.91
13,1.64
14,1.99
15,2.04
16,1.87
17,1.56
18,1.19
19,0.81
20,0.47
21,0.18
22,0.04
23,0.19
24,0.27
25,0.31
26,0.30
27,0.26
28,0.21
29,0.16
30,0.10
31,0.05
32,0.01
33,0.02
34,0.03
35,0.04
36,0.05
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,0.00
82,0.00
83,0.00
84,0.00
85,0.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,0.00
94,0.00
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
100,0.00
101,0.00
102,0.01
103,0.02
104,0.02
105,0.03
106,0.02
107,0.02
108,0.01
109,0.00
110,0.00
111,0.00
112,0.00
113,0.00
114,0.00
115,0.00
116,0.00
117,0.82
118,2.00
119,3.01
120,4.00
121,5.06
122,6.19
123,7.29
124,8.31
125,9.27
126,10.21
127,11.14
128,12.05
129,12.97
130,13.88
131,14.79
132,15.65
133,16.42
134,17.34
135,18.26
136,19.20
137,20.13
138,21.05
139,21.96
140,22.87
141,23.77
142,24.67
143,25.56
144,26.44
145,27.31
146,28.18
147,29.05
148,28.84
149,28.96
150,28.76
151,28.59
152,28.50
153,28.52
154,28.44
155,28.48
156,28.39
157,28.45
158,29.79
159,30.94
160,31.97
161,32.90
162,33.76
163,34.57
164,35.34
165,36.08
166,36.80
167,37.50
168,38.19
169,38.87
170,39.55
171,40.21
172,40.87
173,41.53
174,42.18
175,42.83
176,43.48
177,44.12
178,44.77
179,45.30
180,45.63
181,45.75
182,45.65
183,45.59
184,45.50
185,45.23
186,42.65
187,39.12
188,35.78
189,33.33
190,31.63
191,30.10
192,28.75
193,27.47
194,26.32
195,25.28
196,24.35
197,23.59
198,23.11
199,22.96
200,23.11
201,22.91
202,23.11
203,22.74
204,23.03
205,22.65
206,22.94
207,22.56
208,22.85
209,22.46
210,22.77
211,23.51
212,24.20
213,24.86
214,25.47
215,25.90
216,26.07
217,26.05
218,25.94
219,25.72
220,25.49
221,25.20
222,24.93
223,24.62
224,24.34
225,24.04
226,23.76
227,23.46
228,23.19
229,22.91
230,22.75
231,22.69
232,22.81
233,23.13
234,23.53
235,24.01
236,24.53
237,25.08
238,25.65
239,26.23
240,26.81
241,27.40
242,27.98
243,28.57
244,29.16
245,29.74
246,30.32
247,30.90
248,31.47
249,32.04
250,32.60
251,33.15
252,33.21
253,33.04
254,32.90
255,32.74
256,32.60
257,32.45
258,32.30
259,32.16
260,32.02
261,32.20
262,32.61
263,33.16
264,33.74
265,34.31
266,34.87
267,35.41
268,35.96
269,36.49
270,37.02
271,37.55
272,38.08
273,38.61
274,39.14
275,39.66
276,40.19
277,40.72
278,41.24
279,41.77
280,42.30
281,42.82
282,43.35
283,43.88
284,44.41
285,44.93
286,45.36
287,45.59
288,45.61
289,45.41
290,45.27
291,45.23
292,45.26
293,44.78
294,44.28
295,43.80
296,43.32
297,43.35
298,43.39
299,43.35
300,43.31
301,43.28
302,43.25
303,43.78
304,44.25
305,44.69
306,45.11
307,45.53
308,45.91
309,46.18
310,46.28
311,46.26
312,46.18
313,46.05
314,45.90
315,45.73
316,45.56
317,45.38
318,45.19
319,45.00
320,44.82
321,44.63
322,44.44
323,44.26
324,44.07
325,43.89
326,43.70
327,43.52
328,43.34
329,43.16
330,42.98
