frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,6.92
5,3.04
6,1.17
7,0.26
8,0.14
9,0.28
10,0.30
11,0.27
12,0.22
13,0.17
14,0.13
15,0.09
16,0.07
17,0.05
18,0.03
19,0.02
20,0.02
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.03
31,0.00
32,0.01
33,0.01
34,0.01
35,0.01
36,0.01
37,0.01
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,2.75
61,5.21
62,7.36
63,9.23
64,10.85
65,12.28
66,13.55
67,14.71
68,15.78
69,16.74
70,17.53
71,18.26
72,18.97
73,19.56
74,20.09
75,20.46
76,20.75
77,20.86
78,20.89
79,20.74
80,20.54
81,20.23
82,19.97
83,19.62
84,19.34
85,18.96
86,18.67
87,18.29
88,17.98
89,17.73
90,17.50
91,17.24
92,17.05
93,17.03
94,17.23
95,17.55
96,17.87
97,18.19
98,18.42
99,18.67
100,18.98
101,19.25
102,19.54
103,19.96
104,20.38
105,20.76
106,21.00
107,21.21
108,21.33
109,21.39
110,21.38
111,21.51
112,21.74
113,22.20
114,22.73
115,23.21
116,20.93
117,18.60
118,15.88
119,13.71
120,12.97
121,12.64
122,10.78
123,9.23
124,8.49
125,7.19
126,6.61
127,5.55
128,5.05
129,4.75
130,4.52
131,4.35
132,3.42
133,3.12
134,2.97
135,2.86
136,2.05
137,1.82
138,1.08
139,1.14
140,0.62
141,0.73
142,0.36
143,0.51
144,0.08
145,0.29
146,0.28
147,0.35
148,0.08
149,0.08
150,0.54
151,1.15
152,0.02
153,0.76
154,1.26
155,1.82
156,2.40
157,3.24
158,4.29
159,5.11
160,5.94
161,6.78
162,7.61
163,8.41
164,9.20
165,9.97
166,10.74
167,11.50
168,12.27
169,13.04
170,13.81
171,14.58
172,15.35
173,12.64
174,12.74
175,13.27
176,10.73
177,10.77
178,8.67
179,8.56
180,8.78
181,9.16
182,9.68
183,10.28
184,10.93
185,11.62
186,12.33
187,13.06
188,13.80
189,14.56
190,15.32
191,16.08
192,16.85
193,17.63
194,18.42
195,19.20
196,19.98
197,20.76
198,21.54
199,22.32
200,23.09
201,23.86
202,24.62
203,25.38
204,26.14
205,26.89
206,27.64
207,28.39
208,29.13
209,29.86
210,30.59
211,31.32
212,32.04
213,32.76
214,33.48
215,34.19
216,34.90
217,35.60
218,36.30
219,36.99
220,37.68
221,38.37
222,39.05
223,39.73
224,40.40
225,41.07
226,41.74
227,42.40
228,43.06
229,43.71
230,44.36
231,45.01
232,45.65
233,46.29
234,43.81
235,40.00
236,36.49
237,33.27
238,30.44
239,28.20
240,26.20
241,24.44
242,22.79
243,21.20
244,19.56
245,18.21
246,16.70
247,15.19
248,13.71
249,12.30
250,10.96
251,9.71
252,8.55
253,7.48
254,6.50
255,5.58
256,4.68
257,3.77
258,2.95
259,2.18
260,1.53
261,1.01
262,0.56
263,0.21
264,0.93
265,1.48
266,2.16
267,2.64
268,3.27
269,4.11
270,4.98
271,5.88
272,6.76
273,7.58
274,8.35
275,9.13
276,9.87
277,10.55
278,11.26
279,11.84
280,12.34
281,12.97
282,13.66
283,14.33
284,15.07
285,15.77
286,16.39
287,17.15
288,17.93
289,18.66
290,19.45
291,20.18
292,20.78
293,21.27
294,21.66
295,22.22
296,22.90
297,23.87
298,24.61
299,25.47
300,26.22
301,26.97
302,27.72
303,28.49
304,29.26
305,30.01
306,30.66
307,31.38
308,31.97
309,32.44
310,33.02
311,33.56
312,33.91
313,34.52
314,35.02
315,35.23
316,35.09
317,35.37
318,35.60
319,35.99
320,36.29
321,36.58
322,36.69
323,36.58
324,36.76
325,36.84
326,36.66
327,36.44
328,36.04
329,35.64
330,35.12
331,34.64
332,34.07
333,33.55
334,32.95
335,32.46
336,32.08
337,31.63
338,31.25
339,30.77
340,30.17
341,29.88
342,29.54
343,29.10
344,28.94
345,28.74
346,28.56
347,28.29
348,28.04
349,27.85
350,27.61
351,27.36
352,25.09
353,22.38
354,20.35
355,18.90
356,16.97
357,14.96
358,13.24
359,11.67
360,10.36
361,9.13
362,8.00
363,7.24
364,6.02
365,4.90
366,4.00
367,2.90
368,2.23
369,1.90
370,1.25
371,0.49
372,0.15
373,0.83
374,1.38
375,1.88
376,2.49
377,3.14
378,4.35
379,5.29
380,3.42
381,3.87
382,4.36
383,5.01
384,5.85
385,6.73
386,7.57
387,8.38
388,9.17
389,9.91
390,10.60
391,11.25
392,11.86
393,12.67
394,13.30
395,14.06
396,14.82
397,12.04
398,12.19
399,12.74
400,13.36
401,14.03
402,14.72
403,15.44
404,16.18
405,16.87
406,17.62
407,18.40
408,19.18
409,19.96
410,20.74
411,21.44
412,19.08
413,18.66
414,16.48
415,16.31
416,16.59
417,16.94
418,14.21
419,14.03
420,14.36
421,14.84
422,15.41
423,16.03
424,16.71
425,17.41
426,18.13
427,18.88
428,19.63
429,20.39
430,21.16
431,21.92
432,22.69
433,23.45
434,21.08
435,20.47
436,20.90
437,21.32
438,21.97
439,22.66
440,23.23
441,23.95
442,21.54
443,20.62
444,18.35
445,17.75
446,18.16
447,18.64
448,19.14
449,16.88
450,16.76
451,17.17
452,17.71
453,15.00
454,14.86
455,15.13
456,15.59
457,16.16
458,16.82
459,17.51
460,18.23
461,18.96
462,19.71
463,20.39
464,20.99
465,21.54
466,22.04
467,22.79
468,23.17
469,23.75
470,24.53
471,25.34
472,26.15
473,26.94
474,27.72
475,28.48
476,29.24
477,29.99
478,30.73
479,31.47
480,32.20
481,32.92
482,33.64
483,34.36
484,35.07
485,35.77
486,36.47
487,37.16
488,34.71
489,30.96
490,27.67
491,24.70
492,22.52
493,20.39
494,18.88
495,17.47
496,15.97
497,14.51
498,13.19
499,11.97
500,10.85
501,9.81
502,8.87
503,8.01
504,7.23
505,6.52
506,5.88
507,5.29
508,4.76
509,4.27
510,3.84
511,3.44
512,3.09
513,2.78
514,2.49
515,2.23
516,2.01
517,1.80
518,1.61
519,1.45
520,1.30
521,1.16
522,1.04
523,0.94
524,0.84
525,0.75
526,0.68
527,0.61
528,0.54
529,0.49
530,0.44
531,0.39
532,0.35
533,0.31
534,0.28
535,0.25
536,0.23
537,0.20
538,0.18
539,0.16
540,0.15
