frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,7.05
5,8.81
6,10.57
7,12.33
8,14.08
9,15.84
10,17.59
11,10.80
12,3.09
13,1.94
14,1.10
15,0.52
16,0.17
17,0.13
18,0.23
19,0.27
20,0.27
21,0.24
22,0.20
23,0.16
24,0.12
25,0.09
26,0.06
27,0.04
28,0.02
29,0.01
30,0.01
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.02
58,0.01
59,0.00
60,0.01
61,0.01
62,0.01
63,0.01
64,0.01
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,2.55
77,4.86
78,7.05
79,9.16
80,11.22
81,13.17
82,14.76
83,15.76
84,16.27
85,16.44
86,16.54
87,16.76
88,17.26
89,17.94
90,18.44
91,18.95
92,18.41
93,17.75
94,17.44
95,16.82
96,16.30
97,16.02
98,16.12
99,16.56
100,17.29
101,18.23
102,19.36
103,20.36
104,21.85
105,21.02
106,22.24
107,20.82
108,22.08
109,21.20
110,22.96
111,22.86
112,24.74
113,25.19
114,26.11
115,25.89
116,25.96
117,25.33
118,25.99
119,24.73
120,25.76
121,24.43
122,25.50
123,24.15
124,25.24
125,25.89
126,27.77
127,28.86
128,30.65
129,32.04
130,33.74
131,35.33
132,36.98
133,38.60
134,40.00
135,40.91
136,41.32
137,41.35
138,41.07
139,40.54
140,39.82
141,38.94
142,37.94
143,36.84
144,35.67
145,34.45
146,33.20
147,31.93
148,30.65
149,29.37
150,28.10
151,26.86
152,25.63
153,24.44
154,23.28
155,22.58
156,23.55
157,22.05
158,23.30
159,21.79
160,23.06
161,21.53
162,22.82
163,21.27
164,22.59
165,19.61
166,18.53
167,16.85
168,16.13
169,15.92
170,16.13
171,16.67
172,17.47
173,18.48
174,19.67
175,20.83
176,22.63
177,23.37
178,25.54
179,26.49
180,28.52
181,29.69
182,31.54
183,32.87
184,34.56
185,36.01
186,37.57
187,39.06
188,40.55
189,42.03
190,43.48
191,44.92
192,46.33
193,47.73
194,49.11
195,50.47
196,50.22
197,49.97
198,49.70
199,49.38
200,49.00
201,48.60
202,48.19
203,47.77
204,47.34
205,46.91
206,48.29
207,49.23
208,49.63
209,49.56
210,49.14
211,48.44
212,47.53
213,46.44
214,45.22
215,43.92
216,42.54
217,41.11
218,39.64
219,38.16
220,36.67
221,35.17
222,33.68
223,32.21
224,30.76
225,29.34
226,27.96
227,26.62
228,25.32
229,24.07
230,22.87
231,21.70
232,20.67
233,19.08
234,19.33
235,17.58
236,17.09
237,17.01
238,16.93
239,16.85
240,16.78
241,16.70
242,16.63
243,16.55
244,16.48
245,16.40
246,15.92
247,14.10
248,12.90
249,12.29
250,12.17
251,12.45
252,13.06
253,13.91
254,14.98
255,16.20
256,17.54
257,18.98
258,20.41
259,22.25
260,23.21
261,25.36
262,26.41
263,28.38
264,29.62
265,31.38
266,32.87
267,34.54
268,36.09
269,37.68
270,39.22
271,40.74
272,42.24
273,43.71
274,45.17
275,46.60
276,48.01
277,48.31
278,48.08
279,47.85
280,47.63
281,47.41
282,47.19
283,46.97
284,46.75
285,46.54
286,46.32
287,47.41
288,49.15
289,50.89
290,52.59
291,54.05
292,54.99
293,55.37
294,55.28
295,54.83
296,54.10
297,53.14
298,51.99
299,50.70
300,49.31
301,47.83
302,46.28
303,44.70
304,43.09
305,41.47
306,39.85
307,38.23
308,36.64
309,35.07
310,33.53
311,32.03
312,30.57
313,29.15
314,27.78
315,26.45
316,25.17
317,23.94
318,24.65
319,23.29
320,24.57
321,23.10
322,24.39
323,22.91
324,24.21
325,22.72
326,24.04
327,22.54
328,20.81
329,17.79
