frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,7.05
5,5.33
6,2.85
7,1.20
8,0.16
9,0.43
10,0.71
11,0.79
12,0.76
13,0.67
14,0.55
15,0.43
16,0.32
17,0.22
18,0.15
19,0.09
20,0.05
21,0.03
22,0.01
23,0.00
24,0.01
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.03
56,0.02
57,0.01
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.02
75,0.01
76,0.00
77,0.01
78,0.01
79,0.01
80,0.01
81,0.01
82,0.00
83,0.00
84,0.00
85,0.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,2.49
94,4.70
95,6.81
96,8.86
97,10.88
98,12.85
99,14.79
100,16.69
101,18.57
102,20.48
103,22.03
104,24.38
105,25.55
106,27.78
107,29.07
108,31.08
109,32.50
110,34.29
111,35.81
112,37.43
113,38.98
114,40.52
115,42.03
116,43.52
117,44.97
118,46.41
119,47.83
120,49.23
121,50.60
122,51.95
123,52.24
124,51.98
125,51.69
126,51.44
127,51.19
128,50.95
129,50.71
130,50.46
131,50.22
132,48.30
133,45.73
134,43.20
135,42.44
136,42.03
137,41.40
138,40.86
139,40.61
140,40.59
141,40.37
142,39.71
143,38.69
144,37.40
145,35.94
146,34.36
147,32.69
148,31.01
149,29.45
150,28.20
151,27.42
152,27.12
153,27.19
154,27.58
155,28.15
156,28.94
157,29.30
158,29.45
159,29.11
160,29.27
161,29.17
162,29.92
163,30.33
164,31.35
165,30.68
166,30.99
167,30.27
168,30.63
169,29.86
170,30.28
171,29.46
172,29.94
173,29.06
174,29.60
175,30.53
176,32.04
177,33.33
178,34.82
179,36.30
180,37.82
181,39.37
182,40.94
183,42.50
184,44.07
185,45.62
186,47.17
187,48.70
188,50.20
189,51.69
190,53.14
191,54.58
192,55.98
193,57.36
194,58.70
195,60.02
196,61.31
197,62.58
198,63.81
199,65.03
200,66.48
201,67.79
202,69.36
203,71.02
204,72.70
205,74.15
206,73.94
207,73.52
208,73.11
209,72.70
210,72.30
211,71.90
212,71.50
213,71.11
214,70.71
215,70.33
216,71.61
217,72.65
218,73.25
219,71.29
220,68.56
221,65.88
222,63.22
223,60.59
224,57.98
225,55.39
226,52.82
227,50.27
228,48.54
229,47.49
230,46.12
231,44.53
232,42.93
233,41.52
234,40.45
235,39.41
236,38.13
237,36.67
238,34.46
239,31.96
240,29.54
241,27.81
242,26.54
243,25.10
244,23.96
245,22.03
246,21.44
247,19.16
248,19.02
249,17.32
250,16.54
251,16.21
252,16.25
253,16.41
254,16.80
255,17.49
256,18.40
257,19.52
258,20.63
259,22.39
260,23.09
261,24.09
262,23.98
263,23.72
264,23.99
265,23.19
266,24.01
267,22.66
268,23.88
269,22.40
270,23.63
271,22.13
272,24.67
273,25.63
274,27.66
275,28.92
276,30.83
277,32.35
278,34.12
279,35.80
280,37.52
281,39.23
282,40.93
283,42.62
284,44.29
285,45.94
286,47.56
287,49.15
288,50.71
289,52.24
290,53.74
291,55.21
292,56.64
293,58.04
294,59.40
295,60.74
296,62.04
297,63.31
298,64.56
299,65.79
300,66.99
301,68.17
302,68.82
303,68.25
304,67.37
305,66.44
306,65.47
307,64.46
308,63.57
309,62.88
310,62.32
311,61.87
312,62.77
313,64.51
314,66.27
315,68.06
316,69.81
317,71.54
318,70.00
319,67.29
320,64.63
321,61.99
322,59.37
323,56.76
324,54.17
325,51.60
326,49.05
327,46.51
328,44.00
329,41.50
330,39.01
331,36.54
332,34.08
333,31.64
334,29.21
335,26.78
336,24.37
337,21.97
338,19.58
339,17.24
340,14.84
341,12.46
342,10.08
343,7.72
344,5.37
345,3.02
346,0.77
347,1.79
348,2.21
349,2.19
350,2.20
351,2.18
352,2.19
353,2.17
354,2.18
355,0.68
356,3.04
357,5.69
358,8.34
359,10.99
360,13.62
361,16.23
362,18.83
363,21.50
364,23.80
365,26.70
366,28.82
367,31.50
368,33.79
369,36.23
370,38.58
371,40.91
372,43.07
373,44.76
374,46.09
375,46.93
376,47.21
377,47.07
378,46.62
379,45.91
380,45.00
381,43.97
382,42.95
383,42.02
384,41.02
385,39.91
386,39.69
387,39.38
388,39.09
389,38.80
390,38.52
391,38.23
392,37.95
393,37.68
394,37.41
395,37.14
396,34.62
397,32.25
398,29.90
399,27.31
400,25.56
401,23.74
402,22.54
403,20.27
404,18.69
405,1.90
406,0.16
407,0.14
408,0.22
409,0.27
410,0.29
411,0.28
412,0.26
413,0.23
414,0.24
415,0.24
416,0.32
417,0.26
418,0.29
