frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,7.05
5,8.81
6,10.57
7,12.33
8,14.08
9,15.84
10,17.59
11,10.80
12,3.09
13,1.94
14,1.10
15,0.52
16,0.17
17,0.13
18,0.23
19,0.27
20,0.27
21,0.24
22,0.20
23,0.16
24,0.12
25,0.09
26,0.06
27,0.04
28,0.02
29,0.01
30,0.01
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.02
46,0.01
47,0.00
48,0.00
49,0.01
50,0.01
51,0.01
52,0.01
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.00
64,2.49
65,4.69
66,6.81
67,8.86
68,10.87
69,12.85
70,14.79
71,16.69
72,18.57
73,20.48
74,22.02
75,24.35
76,25.53
77,27.76
78,29.06
79,31.07
80,32.49
81,34.28
82,35.78
83,37.36
84,38.83
85,40.24
86,41.60
87,42.59
88,42.87
89,42.68
90,42.27
91,41.89
92,41.78
93,41.94
94,41.88
95,41.63
96,41.40
97,41.10
98,40.82
99,40.54
100,40.25
101,39.98
102,39.70
103,39.42
104,40.04
105,41.08
106,42.19
107,43.36
108,44.58
109,45.83
110,47.08
111,48.12
112,48.67
113,48.74
114,48.47
115,48.05
116,47.60
117,46.95
118,46.08
119,45.05
120,43.89
121,42.63
122,41.30
123,39.92
124,38.51
125,37.07
126,35.61
127,34.15
128,32.71
129,31.27
130,29.87
131,28.49
132,27.17
133,25.99
134,25.06
135,25.40
136,24.29
137,25.35
138,23.98
139,25.08
140,23.69
141,24.81
142,23.40
143,24.54
144,23.11
145,21.80
146,19.59
147,20.01
148,18.27
149,19.74
150,18.71
151,20.62
152,20.43
153,22.45
154,22.95
155,24.99
156,25.78
157,27.70
158,28.67
159,30.52
160,31.78
161,33.49
162,34.88
163,36.46
164,37.93
165,39.42
166,40.90
167,42.35
168,43.79
169,45.22
170,46.62
171,48.01
172,49.38
173,50.71
174,51.99
175,52.74
176,52.31
177,51.87
178,51.41
179,50.93
180,50.43
181,49.93
182,49.44
183,48.95
184,46.90
185,44.33
186,41.76
187,39.24
188,39.48
189,39.63
190,39.24
191,38.44
192,37.39
193,36.30
194,35.40
195,34.87
196,34.71
197,34.86
198,35.26
199,35.84
200,36.58
201,37.43
202,38.38
203,39.40
204,40.47
205,41.58
206,42.71
207,43.80
208,44.54
209,44.60
210,44.08
211,43.15
212,41.91
213,40.46
214,38.85
215,37.13
216,35.34
217,33.49
218,31.63
219,29.76
220,27.91
221,26.10
222,24.33
223,22.62
224,20.98
225,19.42
226,17.89
227,16.57
228,15.43
229,14.65
230,14.35
231,14.48
232,14.96
233,15.72
234,16.70
235,17.85
236,19.13
237,20.59
238,21.64
239,23.75
240,23.44
241,24.60
242,23.18
243,24.48
244,23.03
245,24.32
246,22.83
247,24.15
248,22.65
249,23.97
250,22.47
251,25.15
252,26.13
253,28.25
254,29.51
255,31.49
256,32.76
257,34.36
258,35.77
259,37.36
260,38.93
261,40.54
262,42.18
263,43.83
264,45.49
265,47.16
266,48.82
267,50.45
268,52.01
269,53.48
270,54.94
271,56.33
272,57.67
273,58.96
274,60.21
275,61.42
276,62.61
277,63.77
278,64.93
279,66.32
280,67.89
281,68.76
282,68.41
283,68.02
284,67.65
285,67.28
286,66.92
287,66.56
288,66.21
289,65.85
