frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,6.09
5,3.55
6,1.81
7,0.68
8,0.01
9,0.35
10,0.50
11,0.53
12,0.48
13,0.40
14,0.32
15,0.24
16,0.17
17,0.11
18,0.07
19,0.04
20,0.02
21,0.01
22,0.00
23,0.01
24,0.00
25,0.01
26,0.01
27,0.01
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.03
37,0.01
38,0.00
39,0.01
40,0.01
41,0.01
42,0.01
43,0.01
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.02
57,0.01
58,0.14
59,0.20
60,0.15
61,0.74
62,1.55
63,2.56
64,4.22
65,5.64
66,6.84
67,7.95
68,9.01
69,10.05
70,11.07
71,12.08
72,13.09
73,14.09
74,15.08
75,16.05
76,17.00
77,17.93
78,18.85
79,19.75
80,20.63
81,21.49
82,22.33
83,23.13
84,23.83
85,24.43
86,24.95
87,25.40
88,25.50
89,25.69
90,25.38
91,25.66
92,25.32
93,25.62
94,25.27
95,25.57
96,25.22
97,25.52
98,25.18
99,26.40
100,27.00
101,27.19
102,27.08
103,26.79
104,26.38
105,25.90
106,25.36
107,24.79
108,24.21
109,23.63
110,23.04
111,22.46
112,21.91
113,21.53
114,21.34
115,21.44
116,21.74
117,22.32
118,23.02
119,23.87
120,24.74
121,25.62
122,26.52
123,27.43
124,28.33
125,29.23
126,30.13
127,31.02
128,31.90
129,32.13
130,32.02
131,32.04
132,31.97
133,31.97
134,31.92
135,31.90
136,31.86
137,31.83
138,31.80
139,32.60
140,33.65
141,34.61
142,35.51
143,36.35
144,37.17
145,37.95
146,38.72
147,39.48
148,40.22
149,40.95
150,41.67
151,42.27
152,42.98
153,43.69
154,44.39
155,44.96
156,45.30
157,45.97
158,46.66
159,47.24
160,47.56
161,48.22
162,48.90
163,49.55
164,50.00
165,50.16
166,50.07
167,49.74
168,49.09
169,48.12
170,47.22
171,46.29
172,45.41
173,44.55
174,43.65
175,42.73
176,41.74
177,41.24
178,41.19
179,41.04
180,40.91
181,40.68
182,40.41
183,40.15
184,39.89
185,39.65
186,39.29
187,38.72
188,37.95
189,36.97
190,36.04
191,35.28
192,34.66
193,34.13
194,33.58
195,32.95
196,32.28
197,31.60
198,30.08
199,29.55
200,29.23
201,28.88
202,28.52
203,28.18
204,27.98
205,27.15
206,27.13
207,27.48
208,27.94
209,27.98
210,28.38
211,29.22
212,29.60
213,30.13
214,30.73
215,31.13
216,31.76
217,32.48
218,32.96
219,33.47
220,33.77
221,33.86
222,33.76
223,34.18
224,34.71
225,35.26
226,35.58
227,35.66
228,36.17
229,36.67
230,37.20
231,37.73
232,38.25
233,38.77
234,39.28
235,39.80
236,40.32
237,40.83
238,41.34
239,41.86
240,42.37
241,42.88
242,43.40
243,43.91
244,44.42
245,44.94
246,45.45
247,45.96
248,46.48
249,46.99
250,47.50
251,48.01
252,48.53
253,49.04
254,49.55
255,50.04
256,50.42
257,50.79
258,51.19
259,51.60
260,51.89
261,51.97
262,51.91
263,51.74
264,51.53
265,51.27
266,51.00
267,50.71
268,50.41
269,50.11
270,49.81
271,49.50
272,49.20
273,48.90
274,48.60
275,48.30
276,48.00
277,47.70
278,47.41
279,47.12
280,46.83
281,46.54
282,46.25
283,45.97
284,45.69
285,45.40
286,45.12
287,44.85
288,44.57
289,44.30
290,44.02
291,43.75
292,43.48
293,43.21
294,42.95
295,42.68
296,42.42
297,42.16
298,41.90
299,41.64
300,41.39
301,41.13
302,40.88
303,40.63
304,40.38
305,40.13
306,39.88
307,39.63
308,39.39
309,39.15
310,38.91
311,38.67
312,38.43
313,38.19
314,37.96
315,37.72
316,37.49
317,37.26
318,37.03
319,36.80
320,36.58
321,36.35
322,36.13
323,35.91
324,35.68
325,35.46
326,35.25
327,35.03
328,34.81
329,34.60
330,34.39
