frame,speed_kmh
0,0.00
1,30.00
2,30.00
3,30.00
4,30.00
5,30.00
6,30.00
7,30.00
8,30.00
9,30.00
10,30.00
11,30.00
12,30.00
13,30.00
14,30.00
15,30.00
16,30.00
17,30.00
18,30.00
19,30.00
20,30.00
21,30.00
22,30.00
23,30.00
24,30.00
25,30.00
26,30.00
27,30.00
28,30.00
29,30.00
30,30.00
31,30.00
32,30.00
33,30.00
34,30.00
35,30.00
36,30.00
37,30.00
38,30.00
39,30.00
40,30.00
41,30.00
42,30.00
43,30.00
44,30.00
45,30.00
46,30.00
47,30.00
48,30.00
49,30.00
50,30.00
51,30.00
52,30.00
53,30.00
54,30.00
55,30.00
56,30.00
57,30.00
58,30.00
59,30.00
60,30.00
61,30.00
62,30.00
63,30.00
64,30.00
65,30.00
66,30.00
67,30.00
68,30.00
69,30.00
70,30.00
71,30.00
72,30.00
73,30.00
74,30.00
75,30.00
76,30.00
77,30.00
78,30.00
79,30.00
80,30.00
81,30.00
82,30.00
83,30.00
84,30.00
85,30.00
86,30.00
87,30.00
88,30.00
89,30.00
90,30.00
91,30.00
92,30.00
93,30.00
94,30.00
95,30.00
96,30.00
97,30.00
98,30.00
99,30.00
100,30.00
101,30.00
102,30.00
103,30.00
104,30.00
105,30.00
106,30.00
107,30.00
108,30.00
109,30.00
110,30.00
111,30.00
112,30.00
113,30.00
114,30.00
115,30.00
116,30.00
117,30.00
118,30.00
119,30.00
120,30.00
121,30.00
122,30.00
123,30.00
124,30.00
125,30.00
126,30.00
127,30.00
128,30.00
129,30.00
130,30.00
131,30.00
132,30.00
133,30.00
134,30.00
135,30.00
136,30.00
137,30.00
138,30.00
139,30.00
140,30.00
141,30.00
142,30.00
