frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,6.92
5,3.04
6,1.17
7,0.26
8,0.14
9,0.28
10,0.30
11,0.27
12,0.22
13,0.17
14,0.13
15,0.09
16,0.07
17,0.05
18,0.03
19,0.02
20,0.02
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.03
56,0.00
57,0.01
58,0.01
59,0.01
60,0.01
61,0.01
62,0.01
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,0.00
82,0.00
83,0.00
84,0.00
85,2.74
86,5.17
87,7.28
88,9.09
89,10.66
90,12.05
91,13.29
92,14.41
93,15.46
94,16.44
95,17.37
96,18.26
97,19.13
98,19.98
99,20.81
100,21.62
101,22.43
102,23.22
103,24.00
104,24.75
105,25.32
106,25.61
107,25.77
108,25.95
109,26.24
110,26.65
111,27.14
112,27.69
113,28.19
114,28.55
115,28.79
116,28.88
117,29.62
118,30.31
119,31.01
120,31.76
121,32.50
122,33.23
123,33.96
124,34.68
125,35.39
126,36.10
127,36.80
128,37.39
129,38.08
130,38.77
131,39.46
132,40.14
133,40.82
134,41.49
135,42.16
136,42.82
137,43.37
138,43.69
139,44.33
140,44.99
141,45.65
142,46.31
143,46.96
144,47.60
145,48.24
146,48.87
147,49.50
148,50.12
149,50.74
150,51.36
151,51.97
152,52.57
153,53.17
154,53.66
155,54.26
156,54.85
157,55.44
158,56.00
159,56.42
160,56.46
161,56.02
162,55.67
163,55.18
164,54.56
165,53.78
166,52.72
167,51.38
168,50.42
169,49.58
170,48.67
171,47.67
172,46.48
173,45.06
174,43.43
175,42.31
176,41.51
177,40.64
178,39.76
179,38.82
180,37.73
181,36.91
182,36.20
183,35.67
184,35.39
185,35.34
186,35.47
187,35.72
188,36.07
189,36.49
190,36.96
191,37.38
192,37.92
193,38.49
194,39.08
195,39.69
196,40.30
197,40.92
198,41.55
199,42.17
200,42.80
201,43.44
202,44.07
203,44.70
204,45.33
205,45.85
206,46.14
207,46.17
208,46.75
209,47.38
210,48.03
211,48.68
212,49.33
213,49.97
214,50.61
215,51.23
216,51.86
217,52.47
218,53.08
219,53.58
220,53.83
221,53.79
222,53.45
223,53.68
224,54.33
225,54.85
226,55.04
227,54.91
228,54.48
229,54.61
230,55.26
231,55.76
232,55.91
233,55.75
234,55.28
235,54.78
236,54.30
237,54.44
238,55.10
239,55.56
240,55.65
241,55.43
242,55.81
243,56.51
244,57.17
245,57.83
246,58.50
247,59.18
248,59.85
249,60.52
250,61.17
251,61.81
252,62.31
253,62.54
254,62.46
255,62.04
256,61.55
257,61.03
258,61.05
259,61.60
260,61.89
261,61.78
262,62.19
263,62.69
264,63.20
265,63.75
266,64.13
267,64.24
268,64.82
269,65.30
270,65.46
271,65.28
272,64.77
273,64.17
274,63.54
275,62.85
276,62.07
277,61.21
278,60.27
279,59.24
280,58.68
281,58.88
282,59.07
283,59.21
284,59.40
285,59.41
286,59.20
287,58.79
288,59.04
289,59.79
290,60.50
291,61.22
292,61.96
293,62.52
294,62.22
295,62.89
296,63.62
297,64.31
298,64.57
299,64.71
300,64.49
301,64.75
302,65.36
303,65.70
304,65.72
305,65.52
306,65.23
307,64.96
308,64.32
309,63.05
310,62.05
311,61.23
312,60.42
313,59.56
314,59.20
315,59.08
316,59.45
317,59.69
318,59.92
319,60.43
320,60.98
321,61.40
322,61.65
323,61.73
324,61.46
325,61.14
326,60.73
327,60.85
328,61.49
329,62.01
330,62.58
331,63.07
332,63.66
333,64.31
334,65.05
335,65.81
336,66.55
337,67.26
338,67.96
339,68.64
340,69.29
341,69.93
342,70.55
343,71.16
344,71.75
345,72.33
346,72.90
347,73.46
348,74.01
349,74.55
350,75.09
351,75.61
352,76.13
353,76.65
354,77.14
355,77.49
356,77.55
357,74.98
358,71.23
359,67.56
360,64.15
361,60.97
362,59.04
363,56.62
364,53.54
365,50.56
366,47.70
367,44.97
368,42.98
369,41.55
370,40.01
371,38.36
372,37.28
373,36.48
374,35.91
375,35.40
376,34.87
377,34.38
378,34.04
379,33.91
380,34.00
381,34.22
382,34.55
383,34.96
384,35.43
385,35.95
386,36.49
387,37.06
388,37.65
389,38.26
390,38.88
391,39.40
392,39.71
393,39.81
394,40.44
395,41.08
396,41.75
397,42.43
398,43.11
399,43.78
400,44.44
401,45.09
402,45.75
403,46.39
404,47.03
405,47.67
406,48.30
407,48.93
408,49.55
409,50.17
410,50.78
411,51.39
412,51.89
413,52.14
414,52.72
415,53.33
416,53.93
417,54.54
418,55.14
419,55.73
420,56.32
421,56.91
422,57.49
423,58.07
424,58.64
425,59.21
426,59.77
427,60.33
428,60.86
429,58.36
430,56.94
431,57.00
432,56.90
433,57.16
434,57.50
435,57.87
436,58.27
437,58.69
438,59.13
439,59.59
440,60.06
441,60.54
442,60.92
443,61.42
444,61.92
445,62.42
446,62.93
447,63.43
448,63.94
449,64.45
450,64.96
451,65.47
452,65.98
453,66.48
454,66.97
455,67.30
456,64.78
457,60.98
458,57.43
459,54.14
460,50.86
461,47.51
462,44.06
463,40.53
464,37.10
465,34.74
466,33.61
467,32.74
468,31.70
469,30.57
470,29.36
471,28.08
472,26.97
473,26.08
474,25.30
475,24.60
476,23.94
477,23.34
478,22.86
479,22.57
480,22.45
481,22.30
482,22.03
483,21.71
484,21.34
485,20.92
486,20.50
487,20.07
488,19.72
489,19.48
490,19.42
491,19.54
492,19.82
493,20.25
494,20.58
495,20.68
496,20.59
497,20.38
498,20.11
499,19.77
500,19.41
501,19.03
502,18.72
503,18.61
504,18.77
505,19.09
506,19.52
507,20.04
508,20.61
509,21.21
510,21.84
511,22.49
512,23.14
513,23.79
514,24.44
515,25.09
516,25.74
517,26.37
518,27.00
519,27.62
520,28.23
521,28.83
522,29.42
523,29.99
524,30.55
525,31.10
526,31.63
527,32.15
528,32.66
529,33.59
530,34.34
531,35.07
532,35.84
533,36.60
534,37.35
535,38.08
536,38.70
537,39.09
538,39.25
539,39.18
540,39.16
541,39.85
542,40.61
543,41.34
544,42.09
545,42.83
546,43.55
547,44.26
548,44.96
549,45.65
550,46.32
551,46.99
552,47.64
553,48.29
554,48.93
555,49.46
556,50.09
557,50.72
558,51.34
559,51.96
560,52.57
561,53.18
562,53.78
563,54.38
564,54.97
565,55.56
566,56.14
567,56.72
568,57.30
569,57.87
570,58.44
571,59.01
572,59.57
573,60.13
574,60.68
575,61.23
576,61.78
577,62.32
578,62.86
579,63.40
580,63.93
581,64.46
582,64.99
583,65.52
584,66.04
585,66.56
586,67.07
587,67.59
588,68.10
589,68.61
590,69.11
591,69.60
592,69.94
593,70.00
594,69.79
595,69.36
596,68.77
597,68.06
598,67.24
599,66.35
600,65.39
601,64.39
602,63.35
603,62.29
604,61.21
605,60.11
606,59.01
607,57.91
608,56.81
609,55.71
610,54.61
611,53.53
612,52.45
613,51.39
614,50.34
615,49.30
616,48.27
617,47.26
618,46.27
619,45.29
620,44.32
621,43.37
622,42.44
623,41.52
624,40.61
625,39.73
626,38.86
627,38.00
628,37.16
629,36.34
630,35.53
631,34.74
632,33.96
633,33.20
634,32.45
635,31.71
636,30.99
637,30.29
638,29.60
639,28.92
640,28.26
641,27.61
642,26.97
643,26.35
644,25.74
645,25.14
646,24.56
647,23.98
648,23.42
649,22.88
650,22.34
651,21.81
652,21.30
653,20.80
654,20.31
655,19.83
656,19.34
657,18.88
658,18.40
659,17.93
660,17.52
661,17.11
662,16.71
