frame,speed_kmh
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.53
41,1.06
42,0.38
43,0.00
44,0.53
45,1.06
46,1.59
47,2.13
48,2.66
49,3.19
50,3.72
51,4.25
52,4.78
53,5.32
54,5.85
55,6.38
56,6.39
57,6.76
58,7.03
59,7.20
60,7.20
61,7.20
62,7.20
63,7.20
64,7.20
65,7.20
66,7.20
67,7.20
68,7.20
69,7.20
70,7.20
71,7.20
72,7.20
73,7.20
74,7.20
75,7.15
76,7.20
77,7.20
78,7.20
79,7.20
80,7.20
81,7.20
82,7.19
83,7.20
84,7.20
85,7.20
86,7.20
87,7.20
88,7.20
89,7.20
90,7.20
91,7.20
92,7.20
93,7.20
94,7.20
95,7.20
96,7.20
97,7.20
98,7.20
99,7.20
100,7.20
101,7.20
102,7.20
103,7.18
104,7.20
105,7.20
106,7.20
107,7.20
108,7.20
109,7.20
110,7.20
111,7.20
112,7.20
113,7.20
114,7.20
115,7.20
116,7.20
117,7.20
118,7.20
119,7.20
120,7.20
121,7.20
122,7.15
123,7.20
124,7.20
125,7.20
126,7.20
127,7.20
128,7.20
129,7.20
130,7.20
131,7.20
132,7.17
133,7.20
134,7.20
135,7.20
136,7.06
137,7.20
138,7.20
139,7.20
140,7.20
141,7.20
142,7.20
143,7.20
144,7.20
145,7.20
146,7.20
147,7.20
148,7.20
149,7.20
150,7.20
151,7.20
152,7.20
153,7.20
154,7.20
155,7.20
156,7.20
157,7.20
158,7.20
159,7.20
160,7.20
161,7.20
162,7.20
163,7.20
164,7.20
165,7.20
166,7.15
167,7.20
168,7.20
169,7.20
170,7.20
171,7.20
172,7.20
173,7.20
174,7.20
175,7.20
176,7.20
177,7.20
178,7.20
179,7.20
180,7.20
181,7.20
182,2.58
183,0.92
184,0.00
185,0.53
186,1.06
187,0.38
188,0.00
189,0.00
190,0.00
191,0.00
192,0.00
193,0.00
194,0.00
195,0.53
196,0.00
197,0.53
198,1.06
199,1.59
200,2.13
201,2.66
202,3.19
203,3.72
204,4.25
205,4.78
206,5.32
207,5.85
208,6.38
209,6.91
210,2.48
211,0.89
212,1.03
213,1.51
214,2.03
215,2.56
216,3.09
217,3.62
218,4.15
219,4.68
220,5.22
221,5.75
222,2.06
223,0.74
224,0.00
225,0.00
226,0.00
227,0.00
228,0.53
229,1.06
230,1.59
231,2.13
232,2.66
233,3.19
234,3.72
235,4.25
236,4.78
237,4.91
238,5.32
239,5.12
240,5.44
241,5.90
242,6.41
243,6.93
244,7.20
245,7.19
246,7.20
247,7.20
248,7.20
249,7.20
250,7.20
251,7.19
252,7.20
253,7.20
254,7.20
255,7.20
256,7.20
257,7.20
258,7.20
259,7.20
260,7.20
261,7.20
262,7.20
263,8.53
264,9.86
265,11.19
266,12.52
267,13.84
268,15.17
269,16.50
270,17.83
271,18.00
272,18.00
273,18.00
274,18.00
275,18.00
276,18.00
277,18.00
278,18.00
279,18.00
280,18.00
281,18.00
282,18.00
283,18.00
284,7.20
285,5.64
286,5.60
287,5.95
288,6.43
289,6.94
290,7.20
291,7.20
292,7.20
293,7.20
294,7.20
295,8.53
296,9.86
297,11.19
298,12.52
299,13.84
300,15.17
301,16.50
302,17.83
303,18.00
304,17.88
305,18.00
306,18.00
307,18.00
308,18.00
309,18.00
310,18.00
311,18.00
