frame,speed_kmh
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.53
81,1.06
82,1.59
83,2.92
84,4.25
85,5.58
86,6.91
87,8.24
88,9.57
89,10.90
90,12.23
91,13.55
92,14.88
93,16.21
94,17.54
95,18.00
96,18.00
97,18.00
98,17.88
99,18.00
100,18.00
101,18.00
102,18.00
103,18.00
104,18.00
105,18.00
106,18.00
107,18.00
108,18.00
109,18.00
110,18.00
111,18.00
112,17.88
113,18.00
114,18.00
115,18.00
116,18.00
117,18.00
118,18.00
119,18.00
120,18.00
121,18.00
122,18.00
123,18.00
124,18.00
125,18.00
126,18.00
127,18.00
128,18.00
129,18.00
130,18.00
131,18.00
132,18.00
133,18.00
134,18.00
135,18.00
136,18.00
137,18.00
138,18.00
139,18.00
140,18.00
141,18.00
142,18.00
143,18.00
144,18.00
145,6.47
146,2.32
147,0.86
148,1.40
149,1.93
150,2.46
151,2.99
152,3.52
153,4.05
154,4.59
155,5.12
156,6.45
157,7.77
158,9.10
159,10.43
160,11.76
161,13.09
162,14.42
163,15.75
164,17.08
165,18.00
166,18.00
167,18.00
168,18.00
169,17.88
170,18.00
171,16.85
172,17.42
173,18.00
174,18.00
175,18.00
176,18.00
177,18.00
178,18.00
179,18.00
180,18.00
181,18.00
182,18.00
183,18.00
184,18.00
185,18.00
186,17.88
187,18.00
188,18.00
189,18.00
190,18.00
191,18.00
192,18.00
193,18.00
194,18.00
195,18.00
196,18.00
197,17.88
198,6.43
199,2.31
200,0.82
201,0.00
202,0.00
203,0.00
