frame,speed_kmh
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.53
25,1.06
26,1.59
27,2.13
28,2.66
29,3.19
30,3.72
31,4.25
32,4.78
33,5.32
34,5.85
35,6.38
36,6.91
37,7.20
38,7.20
39,7.20
40,7.20
41,7.20
42,7.20
43,7.20
44,7.20
45,7.20
46,7.20
47,7.15
48,7.20
49,7.20
50,7.20
51,7.20
52,7.20
53,7.20
54,8.53
55,7.20
56,8.53
57,9.86
58,11.19
59,12.52
60,13.84
61,15.17
62,16.50
63,17.83
64,18.00
65,18.00
66,18.00
67,18.00
68,18.00
69,18.00
70,18.00
71,18.00
72,18.00
73,18.00
74,18.00
75,7.20
76,7.20
77,7.20
78,7.15
79,7.20
80,7.20
81,7.20
82,7.20
83,7.20
84,7.20
85,7.20
86,7.20
87,7.20
88,7.20
89,7.20
90,7.20
91,7.16
92,7.20
93,7.20
94,7.20
95,7.20
96,7.20
97,7.20
98,7.20
99,8.53
100,9.86
101,11.19
102,12.52
103,13.84
104,15.17
105,16.50
106,17.83
107,18.00
108,18.00
109,18.00
110,18.00
111,18.00
112,7.20
113,7.20
114,6.40
115,6.54
116,6.95
117,7.20
118,7.20
119,7.20
120,7.20
121,7.20
122,7.20
123,7.20
124,7.20
125,7.20
126,7.20
127,7.20
128,7.15
129,6.30
130,6.43
131,6.83
132,8.12
133,9.43
134,10.76
135,12.08
136,13.41
137,14.74
138,16.07
139,17.40
140,18.00
141,18.00
142,18.00
143,18.00
144,18.00
145,18.00
146,18.00
147,18.00
148,18.00
149,18.00
150,18.00
151,18.00
152,18.00
153,18.00
154,18.00
155,18.00
156,18.00
157,18.00
158,18.00
159,18.00
160,18.00
161,18.00
162,18.00
163,18.00
164,18.00
165,6.47
166,2.32
167,0.83
168,0.00
169,0.00
170,0.00
171,0.00
172,0.00
173,0.00
174,0.00
175,0.00
176,0.00
177,0.00
178,0.00
179,0.00
180,0.00
181,0.00
182,0.00
183,0.00
