frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,6.92
5,3.04
6,1.17
7,0.26
8,0.14
9,0.28
10,0.30
11,0.27
12,0.22
13,0.17
14,0.13
15,0.09
16,0.07
17,0.05
18,0.03
19,0.02
20,0.02
21,0.00
22,0.01
23,0.01
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,2.69
53,4.97
54,6.85
55,8.39
56,9.69
57,10.80
58,11.80
59,12.73
60,13.60
61,14.41
62,15.15
63,15.82
64,16.41
65,16.95
66,17.43
67,17.82
68,18.14
69,18.40
70,18.64
71,18.87
72,19.07
73,19.30
74,19.38
75,19.46
76,19.50
77,19.60
78,19.65
79,19.76
80,19.81
81,19.89
82,19.89
83,19.92
84,19.86
85,19.82
86,19.70
87,19.62
88,19.46
89,19.32
90,19.06
91,18.84
92,18.49
93,18.18
94,17.82
95,15.67
96,14.78
97,14.25
98,12.35
99,11.54
100,11.06
101,10.73
102,10.50
103,10.33
104,10.20
105,10.08
106,9.95
107,9.81
108,9.67
109,9.49
110,9.30
111,9.11
112,7.55
113,7.00
114,6.68
115,6.42
116,6.24
117,6.07
118,4.84
119,4.42
120,4.43
121,4.11
122,4.09
123,3.10
124,2.18
125,1.72
126,1.51
127,1.46
128,0.81
129,0.66
130,0.25
131,0.29
132,0.10
133,0.32
134,0.08
135,0.09
136,0.76
137,1.11
138,1.55
139,1.94
140,2.42
141,2.93
142,3.58
143,4.49
144,5.44
145,6.32
146,7.19
147,8.02
148,8.82
149,9.59
150,10.36
151,11.11
152,11.88
153,12.62
154,13.39
155,10.71
156,10.98
157,11.64
158,9.17
159,9.38
160,9.87
161,10.41
162,10.93
163,11.46
164,11.96
165,12.51
166,13.08
167,13.68
168,14.31
169,14.98
170,15.69
171,16.41
172,17.12
173,14.44
174,14.57
175,15.16
176,12.50
177,12.54
178,12.96
179,13.44
180,13.94
181,11.46
182,11.45
183,11.82
184,12.25
185,12.72
186,13.22
187,13.77
188,14.34
189,14.94
190,15.56
191,16.20
192,16.88
193,17.59
194,18.33
195,19.07
196,19.82
197,20.51
198,21.18
199,21.94
200,22.71
201,23.47
202,24.20
203,24.90
204,25.64
205,26.33
206,27.06
207,27.75
208,28.47
209,29.17
210,29.87
211,30.53
212,31.21
213,31.86
214,32.52
215,33.17
216,33.82
217,34.46
218,35.07
219,35.64
220,36.27
221,36.87
222,37.46
223,38.13
224,38.82
225,39.47
226,40.16
227,40.86
228,41.51
229,42.19
230,39.72
231,36.03
232,32.52
233,29.65
234,26.34
235,23.13
236,20.22
237,17.63
238,15.62
239,13.73
240,12.16
241,10.72
242,9.48
243,8.34
244,7.29
245,6.32
246,5.41
247,4.56
248,3.64
249,2.86
250,2.14
251,1.51
252,0.99
253,0.60
254,0.25
255,0.35
256,0.84
257,1.28
258,1.82
259,2.23
260,3.18
261,4.00
262,4.83
263,5.63
264,6.45
265,7.28
266,8.08
267,8.87
268,9.64
269,10.41
270,11.18
271,11.94
272,12.71
273,13.48
274,14.25
275,15.02
276,15.78
277,16.52
278,17.30
279,18.05
280,18.77
281,19.54
282,20.25
283,21.02
284,21.78
285,22.54
286,23.35
287,24.12
288,24.87
289,25.66
290,26.44
291,27.20
292,27.96
293,28.71
294,29.44
295,30.14
296,30.86
297,31.47
298,32.03
299,32.67
300,33.34
301,33.90
302,34.52
303,35.14
304,35.86
305,36.59
306,37.24
307,37.85
308,38.36
309,38.76
310,39.02
311,39.14
312,39.12
313,38.94
314,38.62
315,38.18
316,37.64
317,37.04
318,36.40
319,35.72
320,35.03
321,34.33
