frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,6.92
5,3.04
6,1.17
7,0.26
8,0.14
9,0.28
10,0.30
11,0.27
12,0.22
13,0.17
14,0.13
15,0.09
16,0.07
17,0.05
18,0.03
19,0.02
20,0.02
21,0.00
22,0.00
23,0.00
24,0.03
25,0.00
26,0.01
27,0.01
28,0.01
29,0.01
30,0.01
31,0.01
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,2.46
64,4.01
65,4.91
66,5.37
67,5.48
68,5.54
69,5.61
70,5.66
71,5.75
72,5.85
73,6.01
74,6.20
75,6.44
76,6.69
77,6.97
78,7.24
79,7.54
80,7.83
81,8.13
82,8.41
83,8.67
84,8.93
85,9.18
86,9.42
87,9.66
88,9.90
89,10.13
90,10.36
91,10.58
92,10.81
93,11.03
94,11.25
95,11.46
96,11.67
97,11.88
98,12.09
99,12.30
100,12.50
101,12.70
102,12.90
103,13.10
104,13.29
105,13.48
106,13.66
107,13.84
108,14.03
109,14.20
110,14.38
111,14.54
112,14.71
113,14.87
114,15.04
115,15.21
116,15.39
117,15.56
118,15.72
119,15.89
120,16.06
121,16.23
122,16.38
123,16.55
124,16.71
125,16.87
126,17.01
127,17.17
128,17.31
129,17.46
130,17.61
131,17.74
132,17.84
133,17.90
134,17.97
135,17.99
136,17.91
137,17.76
138,15.34
139,13.24
140,12.38
141,10.72
142,9.34
143,8.21
144,7.17
145,6.25
146,5.41
147,4.94
148,4.63
149,3.59
150,2.35
151,1.70
152,0.96
153,0.68
154,0.02
155,0.35
156,0.94
157,1.43
158,1.89
159,2.41
160,3.32
161,4.35
162,5.32
163,6.27
164,7.15
165,7.97
166,8.77
167,9.56
168,10.33
169,11.10
170,11.87
171,12.63
172,13.40
173,14.17
174,14.94
175,15.71
176,16.48
177,17.26
178,18.05
179,18.83
180,19.61
181,20.39
182,21.17
183,21.93
184,22.70
185,23.47
186,24.23
187,24.98
188,25.73
189,26.48
190,27.22
191,27.96
192,28.69
193,29.42
194,30.14
195,30.86
196,31.57
197,32.28
198,32.97
199,33.67
200,34.35
201,35.02
202,35.68
203,36.34
204,36.99
205,37.64
206,38.29
207,38.93
208,39.58
209,37.05
210,33.35
211,30.13
212,27.72
213,25.19
214,22.34
215,19.66
216,18.59
217,17.93
218,17.39
219,17.06
220,16.85
221,16.77
222,16.83
223,16.98
224,17.27
225,17.70
226,18.19
227,18.78
228,19.42
229,20.09
230,20.79
231,21.51
232,22.24
233,22.97
234,23.71
235,24.44
236,25.17
237,25.91
238,26.63
239,27.37
240,28.11
241,28.83
242,29.56
243,30.27
244,27.83
245,24.51
246,21.18
247,18.01
248,15.27
249,13.08
250,11.32
251,10.02
252,8.86
253,7.79
254,6.81
255,5.92
256,5.15
257,4.39
258,3.60
259,2.84
260,2.22
261,1.74
262,1.35
263,0.90
264,0.81
265,0.38
266,0.37
267,0.07
268,0.12
269,0.15
270,0.46
271,0.57
272,0.99
273,1.19
274,1.57
275,1.85
276,2.03
277,2.28
278,2.52
279,2.84
280,3.28
281,3.66
282,4.05
283,4.37
284,4.81
285,5.11
286,5.46
287,5.71
288,5.96
289,6.23
290,6.51
291,6.80
292,7.10
293,7.40
294,7.70
295,8.00
296,8.29
297,8.57
298,8.83
299,9.08
300,9.33
301,9.57
302,9.81
303,10.04
304,10.27
305,10.50
306,10.72
307,10.94
308,11.16
309,11.38
310,11.59
311,11.80
312,12.01
313,12.22
314,12.42
315,12.63
316,12.83
317,13.02
318,13.22
319,13.41
320,13.60
321,13.79
322,13.98
323,14.16
324,14.35
325,14.53
326,14.70
327,14.88
328,15.05
329,15.23
330,15.40
331,15.57
332,15.73
333,15.90
334,16.06
335,16.22
336,16.38
337,16.54
338,16.69
339,16.85
340,17.00
341,17.15
342,17.30
343,17.45
344,17.59
345,17.74
346,17.88
347,18.02
348,18.16
349,18.30
350,18.43
351,18.57
352,18.67
353,18.69
354,18.59
355,18.59
356,18.56
357,18.61
358,18.62
359,18.70
360,18.74
361,18.84
362,18.89
363,19.01
364,19.07
365,19.20
366,19.26
367,19.39
368,19.46
369,19.59
370,19.67
371,19.80
372,19.87
373,20.00
374,20.07
375,20.20
376,20.27
377,20.40
378,20.47
379,20.60
380,20.67
381,20.79
382,20.86
383,20.95
384,20.96
385,20.99
386,20.91
387,20.84
388,20.66
