frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,7.05
5,8.81
6,10.57
7,12.33
8,14.08
9,15.84
10,14.94
11,11.47
12,1.16
13,1.79
14,2.15
15,2.26
16,2.17
17,1.93
18,1.59
19,1.20
20,0.81
21,0.43
22,0.11
23,0.15
24,0.35
25,0.47
26,0.53
27,0.53
28,0.50
29,0.43
30,0.34
31,0.25
32,0.15
33,0.07
34,0.00
35,0.06
36,0.10
37,0.12
38,0.13
39,0.12
40,0.11
41,0.09
42,0.07
43,0.05
44,0.03
45,0.01
46,0.01
47,0.02
48,0.03
49,0.01
50,0.02
51,0.02
52,1.03
53,1.78
54,2.32
55,2.70
56,2.78
57,2.76
58,2.84
59,3.05
60,3.64
61,4.38
62,5.08
63,5.75
64,6.40
65,7.03
66,7.65
67,8.25
68,8.83
69,9.35
70,9.78
71,10.12
72,10.69
73,11.16
74,11.70
75,12.23
76,12.75
77,13.27
78,13.77
79,14.26
80,14.74
81,15.22
82,15.28
83,15.27
84,15.26
85,15.25
86,15.24
87,15.23
88,15.22
89,15.15
90,14.94
91,14.89
92,15.40
93,15.96
94,16.48
95,16.98
96,17.45
97,17.91
98,18.35
99,18.78
100,19.21
101,19.62
102,19.94
103,20.09
104,20.45
105,20.83
106,21.23
107,21.63
108,22.02
109,22.40
110,22.78
111,23.16
112,23.53
113,23.90
114,24.27
115,24.63
116,24.99
117,25.35
118,25.71
119,26.06
120,26.30
121,26.35
122,26.22
123,25.49
124,25.01
125,24.60
126,24.42
127,24.18
128,24.12
129,23.93
130,23.92
131,23.74
132,23.74
133,24.05
134,24.32
135,24.56
136,24.78
137,24.98
138,25.16
139,25.27
140,25.28
141,25.22
142,25.13
143,25.05
144,25.00
145,25.01
146,25.08
147,25.43
148,25.53
149,25.69
150,25.86
151,25.95
152,25.97
153,25.95
154,25.90
155,25.84
156,25.76
157,25.68
158,25.59
159,25.50
160,25.32
161,24.96
162,24.42
163,23.73
164,23.16
165,22.81
166,22.55
167,22.35
168,22.20
169,22.09
170,22.05
171,22.07
172,22.17
173,22.31
174,22.30
175,22.32
176,22.13
177,22.19
178,22.00
179,22.06
180,21.87
181,21.93
182,21.74
183,21.81
184,21.61
185,21.82
186,21.83
187,21.80
188,21.74
189,21.67
190,21.59
191,21.51
192,21.42
193,21.35
194,21.25
195,21.18
196,21.09
197,21.01
198,20.92
199,20.85
200,20.75
201,20.69
202,20.59
203,20.54
204,20.42
205,20.38
206,20.26
207,20.23
208,20.11
209,20.08
210,19.96
211,19.93
212,19.81
213,19.79
214,19.66
215,19.67
216,19.56
217,19.58
218,19.47
219,19.50
220,19.38
221,19.41
222,19.30
223,19.32
224,19.21
225,19.12
226,18.91
227,18.83
228,18.74
229,18.64
230,18.54
231,18.45
232,18.36
233,18.27
234,18.18
235,18.09
236,18.00
237,17.92
238,17.83
239,17.74
240,17.66
241,17.58
242,17.49
243,17.41
244,17.33
245,17.25
246,17.17
247,17.09
248,17.01
249,16.93
250,16.86
251,16.78
252,16.70
253,16.75
254,16.53
255,16.39
256,16.37
257,16.35
258,16.34
259,16.34
260,16.33
261,16.32
262,16.31
263,16.30
264,16.29
