frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,7.05
5,8.81
6,10.57
7,12.33
8,14.08
9,15.84
10,17.59
11,19.35
12,21.10
13,22.86
14,18.46
15,1.34
16,1.92
17,2.23
18,2.30
19,2.17
20,1.90
21,1.54
22,1.14
23,0.74
24,0.37
25,0.06
26,0.20
27,0.38
28,0.49
29,0.54
30,0.54
31,0.49
32,0.42
33,0.33
34,0.23
35,0.14
36,0.06
37,0.01
38,0.07
39,0.10
40,0.12
41,0.13
42,0.13
43,0.11
44,0.09
45,0.07
46,0.05
47,0.03
48,0.01
49,0.01
50,0.02
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.02
75,0.03
76,0.03
77,0.03
78,0.03
79,0.02
80,0.02
81,0.01
82,0.00
83,0.00
84,0.00
85,0.01
86,0.01
87,0.01
88,0.13
89,0.17
90,0.35
91,0.97
92,1.48
93,1.86
94,2.59
95,3.40
96,4.15
97,4.82
98,5.48
99,6.12
100,6.74
101,7.36
102,7.91
103,8.37
104,8.77
105,9.11
106,9.58
107,10.10
108,10.62
109,11.12
110,11.54
111,11.83
112,11.98
113,12.03
114,12.00
115,11.92
116,11.80
117,11.65
118,11.47
119,11.34
120,11.33
121,11.45
122,11.75
123,11.90
124,12.01
125,12.03
126,11.72
127,11.38
128,11.23
129,11.19
130,11.18
131,11.24
132,11.07
133,10.99
134,10.97
135,11.07
136,11.47
137,11.75
138,11.93
139,12.47
140,12.87
141,13.35
142,13.72
143,14.12
144,14.55
145,14.96
146,15.39
147,15.83
148,16.26
149,16.69
150,17.12
151,17.54
152,17.87
153,18.28
154,18.69
155,19.10
156,19.42
157,19.58
158,19.60
159,20.00
160,20.30
161,20.69
162,21.09
163,21.42
164,21.79
165,22.17
166,22.27
167,22.42
168,22.24
169,22.30
170,22.12
171,22.27
172,22.03
173,21.91
174,21.37
175,20.93
176,20.40
177,20.66
178,21.13
179,21.33
180,21.58
181,21.90
182,22.04
183,22.30
184,22.58
185,22.88
186,23.17
187,23.47
188,23.76
189,23.95
190,23.96
191,24.20
192,24.46
193,24.54
194,24.43
195,24.14
196,24.40
197,24.59
198,24.82
199,25.10
200,25.25
201,25.21
202,25.00
203,24.63
204,24.41
205,24.30
206,24.21
207,24.11
208,24.00
209,23.87
210,23.73
211,23.59
212,23.45
213,23.30
214,23.16
215,23.02
216,22.88
217,22.73
218,22.60
219,22.46
220,22.33
221,22.19
222,22.07
223,21.94
224,21.81
225,21.68
226,21.57
227,21.44
228,21.32
229,21.21
230,21.13
231,21.10
232,21.12
233,21.23
234,21.36
235,21.46
236,21.46
237,21.47
238,21.48
239,21.57
240,21.70
241,21.87
242,21.67
243,21.74
244,21.54
245,21.62
246,21.41
247,21.50
248,21.29
249,21.38
250,21.17
251,21.26
252,21.36
253,21.51
254,21.61
255,21.75
256,21.85
257,21.99
258,22.09
259,22.23
260,22.33
261,22.47
262,22.57
263,22.70
264,22.79
265,22.92
266,23.02
267,23.35
268,23.40
269,23.52
270,23.70
271,23.89
272,24.08
273,24.28
274,24.47
275,24.66
276,24.85
277,25.04
278,25.23
279,25.42
280,25.61
281,25.81
282,25.85
283,25.92
284,25.82
285,25.89
286,25.78
287,25.86
288,25.75
289,25.83
290,25.72
291,25.80
292,25.69
293,25.91
294,26.02
295,26.16
296,26.30
297,26.43
298,26.57
299,26.70
300,26.84
301,26.98
302,27.11
303,27.25
304,27.39
305,27.52
306,27.56
307,27.41
308,27.06
309,26.53
310,26.58
311,26.63
312,26.72
313,26.86
314,26.95
315,26.84
316,26.94
317,27.06
318,27.20
319,27.33
320,27.47
321,27.61
322,27.65
323,27.50
324,27.14
325,27.24
326,27.30
327,27.43
328,27.52
329,27.42
330,27.11
331,27.22
332,27.27
333,27.40
334,27.54
335,27.68
336,27.82
337,27.96
338,28.10
339,28.23
340,28.37
341,28.51
342,28.55
343,28.39
344,28.03
345,27.48
346,27.01
347,26.66
348,26.39
349,26.18
350,26.01
351,25.84
352,25.70
353,25.55
354,25.42
355,25.28
356,25.15
357,25.02
358,24.89
359,24.77
360,24.65
361,24.55
362,24.48
363,24.44
364,24.42
365,24.42
366,24.44
367,24.47
368,24.50
369,24.53
370,24.57
371,24.61
372,24.65
373,24.68
374,24.72
375,24.76
376,24.80
377,24.83
378,24.87
379,24.91
380,24.94
381,24.98
382,25.01
383,25.04
384,25.08
385,25.11
386,25.14
387,25.17
388,25.20
389,25.23
390,25.26
391,25.29
392,25.32
393,25.35
394,25.38
395,25.41
396,25.44
397,25.72
398,25.85
399,25.68
400,25.54
401,25.47
402,25.73
403,25.76
404,25.84
405,25.97
406,26.10
407,26.24
408,26.38
409,26.52
410,26.65
411,26.79
412,26.93
413,27.06
414,27.20
415,27.34
416,27.48
417,27.61
418,27.75
419,27.89
420,28.02
421,28.16
422,28.30
423,28.44
424,28.57
425,28.71
426,28.85
427,28.99
428,29.12
429,29.26
430,29.40
431,29.54
432,29.67
433,29.81
434,29.95
435,30.09
436,30.22
437,30.36
438,30.50
439,30.64
440,30.78
441,30.92
442,31.05
443,31.19
444,31.33
445,31.47
446,31.61
447,31.75
448,31.89
449,32.02
450,32.16
451,32.30
452,32.34
453,32.16
454,31.76
455,31.15
456,30.64
457,30.74
458,30.73
459,30.92
460,30.96
461,31.09
462,31.23
463,31.37
464,31.51
465,31.65
466,31.79
467,31.93
468,32.07
469,32.11
470,31.94
471,31.54
472,30.94
473,30.39
474,29.95
475,29.58
476,29.27
477,29.01
478,28.76
479,28.54
480,28.33
481,28.12
482,27.92
483,27.73
484,27.54
485,27.36
486,27.18
487,27.02
488,26.89
489,26.80
490,26.74
491,26.70
492,26.67
493,26.66
494,26.65
495,26.65
496,26.65
497,26.66
498,26.66
499,26.67
500,26.67
501,26.68
502,26.69
503,26.70
504,26.70
505,26.71
506,26.72
507,26.72
508,26.73
509,26.73
510,26.73
511,26.74
512,26.74
513,26.75
514,26.75
515,26.75
516,26.76
517,26.76
518,26.76
519,26.77
520,26.77
521,26.78
522,26.78
523,26.78
524,26.79
525,27.07
526,27.11
527,27.18
528,27.32
529,27.46
530,27.60
531,27.73
532,27.87
533,28.01
534,28.15
535,28.28
536,28.42
537,28.56
538,28.70
539,28.83
540,28.97
541,29.11
542,29.25
543,29.39
544,29.52
545,29.66
546,29.80
547,29.94
548,30.08
549,30.21
550,30.35
551,30.49
552,30.63
553,30.77
554,30.90
555,31.04
556,31.18
557,31.32
558,31.46
559,31.60
560,31.74
561,31.87
562,32.01
563,32.15
564,32.29
565,32.43
566,32.57
567,32.71
568,32.85
569,32.99
570,33.13
571,33.27
572,33.41
573,33.55
574,33.68
575,33.82
576,33.96
577,34.10
578,34.24
579,34.38
580,34.52
581,34.66
582,34.80
583,34.94
584,35.08
585,35.23
586,35.37
587,35.51
588,35.65
589,35.79
590,35.93
591,36.07
592,36.21
593,36.35
594,36.49
595,36.63
596,36.77
597,36.91
598,37.05
599,37.19
600,37.33
601,37.47
602,37.61
603,37.75
604,37.89
605,38.03
606,38.17
607,38.30
608,38.33
609,38.13
610,38.21
611,37.31
612,35.99
613,34.69
614,33.43
615,32.20
616,31.00
617,29.77
618,28.40
619,27.12
620,25.72
621,24.64
622,23.75
623,22.91
624,22.25
625,21.66
626,21.16
627,20.64
628,20.17
629,19.69
630,19.25
631,18.78
632,18.33
633,17.92
634,17.54
635,17.17
636,16.82
637,16.48
638,16.15
639,15.82
640,15.51
641,15.20
642,14.90
643,14.61
644,14.32
645,14.05
646,13.77
647,13.51
648,13.24
649,12.99
650,12.74
651,12.49
652,12.25
653,12.01
654,11.78
655,11.56
656,11.34
657,11.12
658,10.91
659,10.70
660,10.49
661,10.29
662,10.10
663,9.91
664,9.72
665,9.53
666,9.31
667,9.17
668,9.13
669,9.25
670,9.49
671,9.81
672,10.17
673,10.56
674,10.97
675,11.40
676,11.42
677,11.41
678,11.40
679,11.39
680,11.38
681,11.37
682,11.36
683,11.35
684,11.34
685,11.33
686,11.80
687,12.28
688,12.74
689,13.18
690,13.61
691,14.03
692,14.43
693,14.84
694,15.23
695,15.62
696,16.00
697,16.38
698,16.76
699,17.13
700,17.49
701,17.85
702,18.21
703,18.56
704,18.90
705,19.24
706,19.58
707,19.92
708,20.25
709,20.74
710,20.96
711,21.26
712,21.63
713,22.02
714,22.41
715,22.79
716,23.17
717,23.01
718,23.15
719,22.98
720,23.12
721,22.95
722,23.09
723,22.92
724,23.07
725,22.89
726,23.04
727,23.41
728,23.75
729,24.08
730,24.39
731,24.69
732,24.98
733,25.27
734,25.56
735,25.84
736,26.12
737,26.40
738,26.68
739,26.96
740,27.23
741,27.51
742,26.45
743,24.97
744,23.51
