frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,6.92
5,3.04
6,1.17
7,0.26
8,0.14
9,0.28
10,0.30
11,0.27
12,0.22
13,0.17
14,0.13
15,0.09
16,0.07
17,0.05
18,0.03
19,0.02
20,0.02
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.03
54,0.00
55,0.01
56,0.01
57,0.01
58,0.01
59,0.01
60,0.01
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,0.00
82,0.00
83,2.69
84,4.93
85,6.73
86,8.24
87,9.53
88,10.67
89,11.71
90,12.67
91,13.52
92,14.26
93,15.09
94,15.92
95,16.76
96,17.58
97,18.33
98,18.95
99,19.49
100,20.36
101,21.09
102,21.90
103,22.63
104,23.42
105,24.22
106,25.00
107,25.77
108,26.54
109,27.30
110,28.06
111,28.71
112,29.45
113,30.19
114,30.93
115,31.66
116,32.39
117,33.11
118,33.83
119,34.41
120,31.83
121,28.02
122,24.93
123,21.56
124,18.21
125,17.84
126,17.92
127,17.85
128,17.67
129,17.43
130,17.26
131,17.16
132,16.99
133,16.73
134,16.43
135,16.10
136,15.76
137,15.40
138,15.05
139,14.69
140,14.35
141,14.01
142,13.67
143,13.36
144,13.17
145,13.09
146,12.96
147,12.77
148,12.54
149,12.29
150,12.04
151,11.89
152,11.86
153,11.76
154,11.62
155,11.55
156,11.63
157,11.91
158,12.34
159,12.83
160,13.25
161,13.72
162,14.27
163,14.87
164,15.51
165,16.15
166,16.61
167,16.81
168,16.80
169,16.67
170,16.58
171,16.61
172,16.83
173,17.20
174,17.67
175,18.22
176,18.82
177,19.45
178,20.11
179,20.79
180,21.47
181,22.15
182,22.83
183,23.51
184,24.18
185,24.85
186,25.51
187,26.15
188,26.79
189,27.42
190,28.04
191,28.99
192,29.69
193,30.41
194,31.18
195,31.94
196,32.70
197,33.44
198,34.17
199,34.90
200,35.62
201,36.33
202,37.03
203,37.73
204,38.32
205,39.01
206,39.69
207,40.27
208,40.96
209,41.63
210,42.31
211,42.97
212,43.63
213,44.29
214,44.94
215,45.59
216,46.23
217,46.87
218,47.51
219,48.14
220,48.76
221,49.39
222,50.00
223,50.62
224,51.23
225,51.83
226,52.33
227,52.57
228,52.54
229,52.22
230,51.87
231,51.53
232,51.07
233,48.12
234,43.93
235,39.92
236,35.96
237,32.71
238,28.99
239,25.29
240,23.57
241,23.06
242,22.67
243,22.28
244,21.86
245,21.41
246,20.97
247,20.50
248,20.04
249,19.57
250,19.10
251,18.63
252,18.20
253,17.77
254,17.34
255,16.91
256,16.50
257,16.10
258,15.71
259,15.32
260,14.95
261,14.59
262,14.23
263,13.89
264,13.56
265,13.23
266,12.91
267,12.60
268,12.30
269,12.02
270,11.86
271,11.88
272,12.12
273,12.53
274,13.04
275,13.62
276,14.25
277,14.91
278,15.60
279,16.30
280,17.01
281,17.89
282,18.55
283,19.30
284,20.10
285,20.90
286,21.69
287,22.47
288,23.25
289,24.03
290,24.79
291,25.56
292,26.22
293,26.73
294,27.09
295,27.30
296,27.67
297,28.19
298,28.77
299,29.73
300,30.46
301,31.20
302,31.99
303,32.76
304,33.52
305,34.27
306,35.01
307,35.74
308,36.45
309,37.06
310,37.45
311,37.63
312,38.33
313,39.01
314,39.68
315,40.10
316,40.26
317,40.17
318,40.73
319,41.48
320,42.20
321,42.93
322,43.65
323,44.36
324,45.06
325,45.75
326,46.42
327,47.09
328,47.75
329,48.40
330,49.04
331,49.67
332,50.30
333,50.93
334,51.54
335,52.16
336,52.77
337,50.27
338,46.23
339,42.15
340,38.43
341,34.84
342,31.64
343,30.12
344,29.69
345,29.27
346,28.81
347,28.30
348,27.75
349,27.17
350,26.56
351,25.95
352,25.33
353,24.72
354,24.11
355,23.52
356,22.94
357,22.37
358,21.82
359,21.29
360,20.77
361,20.27
362,19.77
363,19.31
364,18.91
365,18.67
366,18.71
367,19.03
368,19.46
369,19.97
370,20.54
371,21.14
372,21.77
373,22.41
374,23.06
375,23.72
376,24.37
377,25.02
378,25.67
379,26.31
380,26.94
381,27.56
382,28.17
383,28.77
384,29.36
385,29.94
386,30.50
387,31.05
388,31.58
389,32.10
390,33.04
391,33.78
392,34.51
393,35.26
394,35.84
395,36.13
396,36.14
397,35.94
398,35.59
399,35.13
400,34.60
401,34.01
402,33.39
