frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,6.92
5,3.04
6,1.17
7,0.26
8,0.14
9,0.28
10,0.30
11,0.27
12,0.22
13,0.17
14,0.13
15,0.09
16,0.07
17,0.05
18,0.03
19,0.02
20,0.02
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,0.00
82,0.00
83,0.00
84,0.00
85,0.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,0.00
94,0.00
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
100,0.00
101,0.00
102,0.00
103,0.00
104,0.00
105,0.00
106,0.00
107,0.00
108,0.00
109,0.00
110,0.00
111,0.00
112,0.00
113,0.00
114,0.00
115,0.00
116,0.00
117,0.00
118,0.00
119,0.00
120,0.00
121,0.00
122,0.00
123,0.00
124,0.00
125,0.00
126,0.00
127,0.00
128,0.00
129,0.00
130,0.00
131,0.00
132,0.00
133,0.00
134,0.00
135,0.03
136,0.00
137,0.01
138,0.01
139,0.01
140,0.01
141,0.01
142,0.01
143,0.00
144,0.00
145,0.00
146,0.00
147,0.00
148,0.00
149,0.00
150,0.00
151,0.00
152,0.00
153,0.00
154,0.00
155,0.00
156,0.00
157,0.00
158,0.00
159,0.00
160,0.00
161,0.00
162,0.03
163,0.00
164,0.01
165,0.01
166,0.01
167,0.17
168,0.19
169,0.02
170,0.47
171,0.90
172,1.45
173,1.92
174,2.55
175,3.55
176,4.46
177,5.46
178,6.37
179,7.26
180,8.10
181,8.91
182,9.70
183,10.48
184,11.21
185,11.87
186,12.48
187,13.03
188,13.73
189,14.48
190,15.24
191,16.00
192,16.75
193,17.51
194,18.26
195,19.00
196,19.75
197,20.48
198,21.21
199,21.93
200,22.64
201,23.34
202,23.78
203,24.59
204,25.25
205,25.97
206,25.76
207,26.32
208,26.67
209,26.83
210,27.20
211,27.94
212,28.73
213,29.55
214,30.39
215,30.54
216,31.21
217,32.04
218,32.86
219,9.91
220,7.87
221,7.60
222,7.94
223,9.61
224,11.45
225,13.05
226,14.56
227,15.92
228,17.16
229,18.31
230,19.38
231,20.38
232,21.33
233,22.24
234,23.12
235,23.89
236,24.49
237,24.94
238,25.81
239,26.55
240,27.36
241,28.16
242,28.86
243,29.37
244,29.68
245,29.68
246,29.56
247,29.35
248,29.03
249,28.60
250,28.11
251,27.55
252,26.97
253,26.35
254,25.73
255,25.11
256,24.49
257,23.87
258,23.27
259,22.68
260,22.10
261,21.53
262,20.98
263,20.45
264,19.92
265,19.42
266,18.91
267,7.66
268,3.14
269,2.76
270,0.32
271,0.21
272,0.21
273,0.19
274,0.20
275,0.26
276,0.20
277,0.18
278,0.13
279,0.53
280,0.77
281,1.26
282,1.61
283,2.08
284,2.64
285,3.80
286,4.60
287,5.45
288,6.38
289,7.24
290,5.25
291,3.76
292,2.93
293,2.39
294,2.05
295,1.45
296,1.22
297,0.91
298,0.65
299,0.38
300,0.21
301,0.64
302,1.16
303,1.65
304,2.39
305,3.03
306,3.97
307,5.05
308,5.98
309,6.84
310,7.64
311,8.42
312,9.17
313,9.91
314,10.65
315,11.39
316,12.23
317,12.92
318,13.68
319,14.46
320,15.24
321,16.02
322,16.36
323,16.88
324,17.49
325,18.33
326,18.84
327,19.65
328,20.58
329,21.49
330,22.36
331,23.20
332,24.02
333,24.71
334,25.05
335,25.29
336,25.50
337,26.16
338,26.73
339,27.11
340,27.64
341,28.30
342,28.97
343,29.64
344,30.29
345,30.92
346,31.51
347,32.08
348,32.63
349,33.15
350,33.66
351,34.14
352,34.60
353,35.04
354,35.46
355,35.86
356,36.25
357,36.62
358,36.97
359,37.30
360,37.62
361,37.92
362,38.21
363,39.05
364,39.88
365,40.67
366,41.46
367,42.24
368,43.01
369,43.75
370,44.48
371,45.19
372,45.89
373,46.57
374,47.24
375,47.91
376,48.56
377,49.09
378,49.39
379,49.41
380,49.14
381,48.86
382,48.63
383,48.41
384,48.18
385,47.91
386,47.61
387,47.94
388,48.66
389,49.34
390,50.01
391,50.68
392,51.17
393,51.39
394,51.27
395,51.11
396,50.94
397,50.74
398,50.48
399,50.15
400,49.77
401,49.32
402,48.82
403,48.28
404,47.71
405,47.11
406,46.51
407,45.90
408,45.29
409,44.70
410,44.14
411,43.61
412,43.12
413,42.68
414,42.28
415,41.94
416,41.66
417,41.43
418,41.25
419,41.12
420,41.04
421,41.00
422,40.99
423,41.01
424,41.06
425,41.12
426,41.20
427,41.28
428,41.37
429,41.46
430,41.54
431,41.63
432,42.38
433,43.36
434,44.30
435,45.22
436,46.13
437,47.03
438,47.90
439,48.73
440,49.54
441,50.32
442,51.07
443,51.80
444,52.50
445,53.19
446,53.86
447,54.52
448,55.05
449,55.33
450,55.30
451,54.97
452,54.60
453,54.22
454,53.82
455,53.37
456,52.87
457,52.94
458,53.55
459,54.10
460,54.63
461,52.08
462,47.97
463,43.94
464,39.92
465,36.60
466,33.29
467,30.05
468,26.88
469,23.70
470,20.66
471,17.85
472,15.42
473,13.26
474,11.36
475,9.71
476,8.32
477,7.07
478,5.91
479,4.91
480,4.47
481,4.61
482,4.92
483,5.45
484,5.83
485,6.06
486,6.14
487,6.13
488,6.08
489,5.99
490,5.88
491,5.76
492,5.64
493,5.52
494,5.39
495,5.27
496,5.14
497,5.02
498,4.91
499,4.79
500,4.68
501,4.57
502,4.46
503,4.35
504,4.25
505,4.15
506,4.05
507,3.95
508,3.86
509,3.77
510,3.68
511,3.59
512,3.51
513,3.42
514,3.34
515,3.26
516,3.19
517,3.11
518,3.04
519,2.97
520,2.90
521,2.83
522,2.76
523,2.69
524,2.63
525,2.57
526,2.51
527,2.45
528,2.39
529,2.33
530,2.28
531,2.22
532,2.17
533,2.12
534,2.07
535,2.02
536,1.97
537,1.93
538,1.88
539,1.84
540,1.79
541,1.75
