frame,speed_kmh
0,0.00
1,1.76
2,3.53
3,5.29
4,6.92
5,3.04
6,1.17
7,0.26
8,0.14
9,0.28
10,0.30
11,0.27
12,0.22
13,0.17
14,0.13
15,0.09
16,0.07
17,0.05
18,0.03
19,0.02
20,0.02
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.03
64,0.00
65,0.01
66,0.01
67,0.01
68,0.01
69,0.01
70,0.01
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,0.00
82,0.00
83,0.00
84,0.00
85,0.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,2.70
94,5.04
95,7.01
96,8.68
97,10.13
98,11.39
99,12.53
100,13.57
101,14.55
102,15.47
103,16.36
104,17.16
105,18.00
106,18.84
107,19.66
108,20.47
109,21.28
110,21.99
111,22.77
112,23.56
113,24.34
114,25.11
115,25.88
116,26.55
117,27.30
118,28.06
119,28.81
120,29.55
121,30.19
122,30.65
123,31.38
124,32.11
125,32.85
126,33.48
127,34.21
128,34.93
129,35.65
130,36.36
131,37.07
132,37.76
133,38.35
134,38.70
135,38.70
136,35.87
137,32.20
138,29.53
139,26.30
140,23.07
141,20.18
142,17.64
143,16.73
144,16.26
145,15.84
146,15.44
147,15.06
148,14.68
149,14.33
150,13.98
151,13.64
152,13.31
153,12.99
154,12.68
155,12.38
156,12.09
157,11.93
158,11.95
159,12.19
160,12.59
161,13.10
162,13.68
163,14.31
164,14.97
165,15.66
166,16.36
167,17.07
168,17.76
169,18.27
170,18.49
171,18.49
172,18.34
173,18.09
174,17.81
175,17.60
176,17.54
177,17.70
178,18.02
179,18.46
180,18.98
181,19.56
182,20.18
183,20.83
184,21.48
185,22.15
186,22.82
187,23.49
188,24.15
189,24.81
190,25.47
191,26.11
192,26.75
193,27.38
194,28.32
195,29.02
196,29.73
197,30.50
198,31.27
199,32.03
200,32.77
201,33.51
202,34.23
203,34.85
204,35.27
205,35.47
206,35.47
207,35.56
208,35.79
209,36.62
210,37.39
211,38.14
212,38.90
213,39.66
214,40.40
215,41.12
216,41.84
217,42.54
218,43.23
219,43.91
220,44.58
221,45.13
222,45.80
223,46.45
224,47.10
225,47.75
226,48.36
227,48.83
228,48.91
229,48.53
230,47.73
231,46.56
232,43.60
233,40.40
234,36.93
235,33.61
236,30.49
237,27.60
238,25.76
239,24.62
240,23.68
241,22.87
242,22.15
243,21.49
244,20.89
245,20.33
246,19.80
247,19.30
248,18.80
249,18.32
250,17.88
251,17.43
252,17.00
253,16.61
254,16.33
255,16.24
256,16.38
257,16.70
258,17.15
259,17.67
260,18.25
261,18.88
262,19.54
263,20.21
264,20.89
265,21.58
266,22.27
267,22.95
268,23.63
269,24.30
270,24.97
271,25.63
272,26.27
273,26.91
274,27.54
275,28.15
276,28.76
277,29.35
278,29.93
279,30.49
280,31.04
281,31.58
282,32.10
283,33.03
284,33.78
285,34.51
286,35.28
287,36.04
288,36.79
289,37.42
290,38.14
291,38.86
292,39.57
293,40.27
294,40.96
295,41.64
296,42.32
297,42.99
298,43.65
299,44.31
300,44.97
301,45.61
302,46.26
303,46.77
304,46.90
305,46.55
306,45.72
307,44.73
308,43.67
309,42.56
310,41.41
311,40.22
312,39.02
313,37.81
314,36.63
315,35.47
316,34.36
317,33.29
318,32.28
319,31.32
320,30.40
321,28.05
322,25.30
323,23.59
324,21.47
325,19.60
326,17.89
327,16.29
328,14.80
329,13.43
330,12.15
331,10.94
332,9.76
333,8.89
334,8.42
335,8.09
336,7.83
337,7.59
338,7.38
339,7.19
340,7.01
341,6.82
342,6.71
343,6.81
344,7.12
345,7.63
346,8.24
347,8.89
348,9.57
349,10.26
350,10.97
351,11.69
352,12.41
353,13.14
354,13.88
355,14.61
356,15.35
357,16.09
358,16.84
359,17.58
360,18.32
361,19.07
362,19.80
363,20.54
364,21.26
365,21.98
366,22.69
367,23.39
368,24.07
369,24.75
370,25.42
371,26.08
372,26.73
373,27.36
374,28.31
375,29.01
376,29.73
377,30.50
378,31.27
379,32.03
380,32.77
381,33.51
382,34.24
383,34.96
384,35.67
385,36.38
386,37.08
387,37.78
388,38.47
389,39.16
390,39.73
391,40.41
392,41.09
393,41.76
394,42.43
395,43.09
396,43.75
397,44.40
398,45.05
399,45.70
400,46.21
401,46.35
402,43.59
403,40.08
404,36.65
405,33.16
406,29.61
407,26.31
408,23.28
409,20.56
410,18.15
411,16.45
412,14.61
413,12.99
414,11.57
415,10.34
416,9.20
417,8.38
418,7.94
419,6.78
420,6.30
421,5.99
422,5.75
423,5.47
424,5.44
425,5.45
426,5.71
427,6.10
428,6.47
429,6.73
430,6.88
431,7.03
432,7.14
433,7.22
434,7.25
435,7.25
436,7.21
437,7.19
438,7.27
439,7.30
440,7.41
441,7.66
442,8.12
443,8.68
444,9.31
445,9.97
446,10.65
447,11.35
448,12.06
449,12.78
450,13.51
451,14.24
452,14.98
453,15.72
454,16.46
455,17.20
456,17.94
457,18.68
458,19.43
459,20.16
460,20.89
461,21.61
462,22.33
463,23.03
464,23.72
465,24.41
466,25.08
467,25.74
468,26.39
469,27.03
470,27.66
471,28.28
472,28.88
473,29.47
474,30.05
475,30.61
476,31.16
477,31.69
478,32.21
479,32.72
480,33.20
481,33.68
482,34.14
483,34.58
484,35.49
485,36.26
486,37.01
487,37.79
488,38.55
489,39.30
490,40.03
491,40.75
492,41.46
493,42.15
494,42.84
495,43.52
496,44.19
497,44.86
498,45.51
499,46.16
500,46.81
501,47.45
502,48.09
503,48.72
504,49.32
505,49.77
506,49.94
507,49.84
508,49.53
509,49.06
510,48.48
511,47.81
512,47.08
513,46.30
514,45.49
515,44.65
516,43.80
517,42.94
518,42.08
519,41.22
520,40.36
